Scientific Name,Common Name,Percent Difference in Fishing Mortality with retention ban
Alopias vulpinus,,40.11
Carcharhinus brevipinna,,5.89
Carcharhinus dussumieri,,0.00
Carcharhinus falciformis,,40.48
Carcharhinus hemiodon,,28.02
Carcharhinus leucas,,69.44
Carcharhinus limbatus,,10.44
Carcharhinus longimanus,,57.86
Carcharhinus plumbeus,,62.16
Carcharodon carcharias,,51.30
Centrophorus squamosus,,66.20
Echinorhinus cookei,,52.44
Galeocerdo cuvier,,70.07
Galeorhinus galeus,,0.00
Hexanchus nakamurai,,56.09
Isogomphodon oxyrhynchus,,31.96
Isurus paucus,,54.36
Lamna nasus,,54.23
Mitsukurina owstoni,,62.73
Negaprion brevirostris,,68.06
Odontaspis ferox,,57.79
Prionace glauca,,65.93
Pseudocarcharias kamoharai,,59.37
Sphyrna corona,,24.20
Sphyrna lewini,,26.99
Sphyrna mokarran,,14.14
Squalus acanthias,,39.89
Squalus blainville,,51.05
Squatina guggenheim,,19.26
Squatina japonica,,45.06
Squatina oculata,,44.28
Squatina squatina,,30.40
